engine,id_execucao,arquivos,total_linhas,duracao_segundos,linhas_por_segundo
clickhouse,1,91,9375146,190.74295330047607,49150.680734356654
clickhouse,2,91,9375146,44.171542167663574,212244.02726113587
clickhouse,3,91,9375146,50.13776969909668,186987.695229868
clickhouse,4,91,9375146,47.056684732437134,199230.90743231899
clickhouse,5,91,9375146,48.685561418533325,192565.22317582078
clickhouse,6,91,9375146,47.48490810394287,197434.22435351711
clickhouse,7,91,9375146,47.701712131500244,196536.88685545188
clickhouse,8,91,9375146,44.262972593307495,211805.61202113004
clickhouse,9,91,9375146,47.11584830284119,198980.73233745978
clickhouse,10,91,9375146,212.2857847213745,44162.85344920715
clickhouse,11,91,9375146,187.01732969284058,50129.82494936618
trino,3,91,9375146,407.075984,23030.457134508822
