id_execucao,data_execucao,engine,query_id,query_name,trino_query_id,duracao_segundos,linhas_retornadas,usuarios,modo,status,erro
1,2026-07-14 19:02:54,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190254_00210_mvjs9,2.840863,46,1,mixed-workload,success,
1,2026-07-14 19:02:56,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190256_00211_mvjs9,3.264267,9849,1,mixed-workload,success,
1,2026-07-14 19:03:00,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190300_00212_mvjs9,1.513702,13927,1,mixed-workload,success,
2,2026-07-14 19:03:01,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190301_00216_mvjs9,4.631995,13927,5,mixed-workload,success,
2,2026-07-14 19:03:06,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190306_00218_mvjs9,5.889053,46,5,mixed-workload,success,
2,2026-07-14 19:03:12,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190312_00223_mvjs9,8.934089,9849,5,mixed-workload,success,
2,2026-07-14 19:03:01,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190301_00214_mvjs9,8.73719,9849,5,mixed-workload,success,
2,2026-07-14 19:03:10,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190310_00222_mvjs9,4.313812,13927,5,mixed-workload,success,
2,2026-07-14 19:03:14,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190314_00226_mvjs9,6.441195,46,5,mixed-workload,success,
2,2026-07-14 19:03:01,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190301_00217_mvjs9,6.740057,46,5,mixed-workload,success,
2,2026-07-14 19:03:08,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190308_00221_mvjs9,4.633191,13927,5,mixed-workload,success,
2,2026-07-14 19:03:13,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190313_00224_mvjs9,8.462538,9849,5,mixed-workload,success,
2,2026-07-14 19:03:01,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190301_00215_mvjs9,5.307228,13927,5,mixed-workload,success,
2,2026-07-14 19:03:07,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190307_00220_mvjs9,6.68523,46,5,mixed-workload,success,
2,2026-07-14 19:03:13,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190313_00225_mvjs9,7.923083,9849,5,mixed-workload,success,
2,2026-07-14 19:03:01,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190301_00213_mvjs9,5.296836,13927,5,mixed-workload,success,
2,2026-07-14 19:03:07,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190307_00219_mvjs9,9.176598,9849,5,mixed-workload,success,
2,2026-07-14 19:03:16,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190316_00227_mvjs9,5.441268,46,5,mixed-workload,success,
3,2026-07-14 19:03:21,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190321_00229_mvjs9,9.695514,13927,10,mixed-workload,success,
3,2026-07-14 19:03:31,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190331_00239_mvjs9,12.720426,46,10,mixed-workload,success,
3,2026-07-14 19:03:44,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190344_00250_mvjs9,19.225406,9849,10,mixed-workload,success,
3,2026-07-14 19:03:21,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190321_00230_mvjs9,20.200205,9849,10,mixed-workload,success,
3,2026-07-14 19:03:42,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190342_00245_mvjs9,9.891984,13927,10,mixed-workload,success,
3,2026-07-14 19:03:52,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190352_00254_mvjs9,11.858278,46,10,mixed-workload,success,
3,2026-07-14 19:03:21,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190321_00232_mvjs9,10.006237,13927,10,mixed-workload,success,
3,2026-07-14 19:03:31,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190331_00240_mvjs9,19.915774,9849,10,mixed-workload,success,
3,2026-07-14 19:03:51,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190351_00253_mvjs9,12.088562,46,10,mixed-workload,success,
3,2026-07-14 19:03:21,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190321_00237_mvjs9,20.471301,9849,10,mixed-workload,success,
3,2026-07-14 19:03:42,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190342_00246_mvjs9,9.791337,13927,10,mixed-workload,success,
3,2026-07-14 19:03:52,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190352_00255_mvjs9,11.753617,46,10,mixed-workload,success,
3,2026-07-14 19:03:21,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190321_00235_mvjs9,9.53313,13927,10,mixed-workload,success,
3,2026-07-14 19:03:31,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190331_00238_mvjs9,12.664361,46,10,mixed-workload,success,
3,2026-07-14 19:03:44,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190344_00248_mvjs9,19.823873,9849,10,mixed-workload,success,
3,2026-07-14 19:03:21,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190321_00228_mvjs9,13.113319,46,10,mixed-workload,success,
3,2026-07-14 19:03:35,trino_iceberg,q03,Serie Historica de Complexidade (Agrupamento por Orgao),20260714_190335_00241_mvjs9,9.266834,13927,10,mixed-workload,success,
3,2026-07-14 19:03:44,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190344_00249_mvjs9,19.660101,9849,10,mixed-workload,success,
3,2026-07-14 19:03:21,trino_iceberg,q01,Expansao do Estado (Window Functions),20260714_190321_00231_mvjs9,13.528265,46,10,mixed-workload,success,
3,2026-07-14 19:03:35,trino_iceberg,q02,Relocalizacoes Geograficas de Setores (Self-Join Historico),20260714_190335_00242_mvjs9,19.809694,9849,10,mixed-workload,success,
